#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2285 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.36 aq:19.14 tex:66984 mv:43386 misc:278 imb:8160 pmb:0 smb:0 d:- ref:;
in:46 out:43 type:P dur:2 cpbdur:2 q:28.16 aq:18.71 tex:81436 mv:37381 misc:1767 imb:2622 pmb:1991 smb:3547 d:- ref:0 w:7,125,0,6,64,0,69,-10 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:28.57 aq:20.57 tex:15352 mv:19481 misc:5327 imb:430 pmb:1761 smb:5969 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:28.77 aq:19.90 tex:1957 mv:2365 misc:2542 imb:36 pmb:569 smb:7555 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:28.36 aq:22.11 tex:2617 mv:4094 misc:3665 imb:13 pmb:963 smb:7184 d:- ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:27.61 aq:18.94 tex:105258 mv:37248 misc:1278 imb:3093 pmb:1544 smb:3523 d:- ref:0 w:5,31,0,6,66,-4,71,-14 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:27.98 aq:19.47 tex:30245 mv:27587 misc:5024 imb:696 pmb:2097 smb:5367 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:27.79 aq:19.70 tex:3329 mv:2064 misc:2663 imb:15 pmb:568 smb:7577 d:- ref:0 ;
in:52 out:50 type:P dur:2 cpbdur:2 q:27.71 aq:15.62 tex:134372 mv:39203 misc:993 imb:5294 pmb:845 smb:2021 d:- ref:0 ;
in:50 out:51 type:B dur:2 cpbdur:2 q:27.64 aq:18.91 tex:30536 mv:27161 misc:5087 imb:822 pmb:1949 smb:5389 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:27.68 aq:18.80 tex:3216 mv:2067 misc:2621 imb:15 pmb:583 smb:7562 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:27.41 aq:17.55 tex:126340 mv:35573 misc:2103 imb:3064 pmb:1163 smb:3933 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:27.56 aq:18.41 tex:35969 mv:27111 misc:5048 imb:579 pmb:2453 smb:5128 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:27.64 aq:19.49 tex:23037 mv:25107 misc:5232 imb:504 pmb:2171 smb:5485 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:27.49 aq:18.92 tex:17850 mv:14276 misc:5466 imb:312 pmb:1791 smb:6057 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:27.25 aq:17.31 tex:120046 mv:37727 misc:1227 imb:3895 pmb:1102 smb:3163 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:27.33 aq:17.04 tex:53745 mv:36854 misc:4185 imb:963 pmb:2802 smb:4395 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:27.37 aq:18.06 tex:4216 mv:2272 misc:2728 imb:21 pmb:730 smb:7409 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:27.29 aq:19.96 tex:23796 mv:24260 misc:5160 imb:407 pmb:2192 smb:5561 d:- ref:0 ;
in:62 out:61 type:P dur:2 cpbdur:2 q:27.41 aq:18.98 tex:95832 mv:33144 misc:2304 imb:2805 pmb:1111 smb:4244 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:27.33 aq:19.12 tex:2686 mv:1599 misc:2371 imb:9 pmb:532 smb:7619 d:- ref:0 ;
in:65 out:63 type:P dur:2 cpbdur:2 q:27.26 aq:18.98 tex:116489 mv:37040 misc:1183 imb:4179 pmb:794 smb:3187 d:- ref:0 ;
in:63 out:64 type:B dur:2 cpbdur:2 q:27.36 aq:19.21 tex:79760 mv:47300 misc:3156 imb:1477 pmb:2611 smb:4072 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:27.31 aq:19.88 tex:6243 mv:2813 misc:3144 imb:50 pmb:717 smb:7393 d:- ref:0 ;
in:67 out:66 type:P dur:2 cpbdur:2 q:26.92 aq:19.01 tex:108439 mv:38095 misc:1810 imb:3122 pmb:1335 smb:3703 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:27.09 aq:20.10 tex:5074 mv:1662 misc:2776 imb:17 pmb:627 smb:7516 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:26.99 aq:18.67 tex:96013 mv:36577 misc:1738 imb:3032 pmb:1186 smb:3942 d:- ref:0 ;
in:69 out:69 type:I dur:2 cpbdur:2 q:25.17 aq:13.49 tex:127767 mv:77824 misc:305 imb:8160 pmb:0 smb:0 d:- ref:;
in:71 out:70 type:P dur:2 cpbdur:2 q:27.05 aq:20.85 tex:78251 mv:32697 misc:2348 imb:3057 pmb:1102 smb:4001 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:27.05 aq:18.61 tex:5042 mv:1930 misc:2636 imb:18 pmb:605 smb:7537 d:- ref:0 ;
in:73 out:72 type:P dur:2 cpbdur:2 q:27.20 aq:20.61 tex:103466 mv:33987 misc:1107 imb:4355 pmb:556 smb:3249 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:27.13 aq:19.56 tex:6503 mv:3237 misc:3140 imb:73 pmb:683 smb:7404 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:27.26 aq:20.13 tex:91407 mv:37703 misc:1698 imb:3021 pmb:1229 smb:3910 d:- ref:0 ;
in:77 out:75 type:P dur:2 cpbdur:2 q:27.32 aq:21.68 tex:111879 mv:36817 misc:1072 imb:4099 pmb:735 smb:3326 d:- ref:0 ;
in:75 out:76 type:B dur:2 cpbdur:2 q:27.28 aq:19.82 tex:73196 mv:42626 misc:3786 imb:1095 pmb:2622 smb:4443 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:27.30 aq:19.91 tex:6010 mv:2939 misc:2915 imb:57 pmb:605 smb:7498 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:27.32 aq:19.05 tex:108445 mv:36897 misc:1194 imb:4706 pmb:676 smb:2778 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:27.32 aq:20.51 tex:5322 mv:2349 misc:2929 imb:43 pmb:570 smb:7547 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:27.28 aq:19.98 tex:116420 mv:35794 misc:1922 imb:3392 pmb:993 smb:3775 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:27.50 aq:19.25 tex:126887 mv:42069 misc:1396 imb:3175 pmb:1482 smb:3503 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:27.39 aq:19.27 tex:105383 mv:48214 misc:3211 imb:1468 pmb:2539 smb:4153 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:27.34 aq:19.56 tex:6768 mv:3825 misc:3575 imb:78 pmb:803 smb:7279 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:27.45 aq:20.30 tex:38905 mv:33418 misc:4909 imb:812 pmb:2276 smb:5072 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:27.51 aq:20.75 tex:71295 mv:34760 misc:3065 imb:2620 pmb:1408 smb:4132 d:- ref:0 ;
